# Ba  x_lambda  y_lambda
0.8100,5.9808,4.1192
0.8100,19.5192,4.1192
0.8100,9.3500,4.5786
0.8100,12.7500,4.5214
0.8100,16.1500,4.5786
0.8100,3.8000,6.3500
0.8100,21.7000,6.3500
0.8100,9.3500,8.1214
0.8100,12.7500,8.1786
0.8100,16.1500,8.1214
0.8100,5.9808,8.5808
0.8100,19.5192,8.5808
0.8600,8.2500,2.9786
0.8600,11.2346,2.9654
0.8600,14.2654,2.9654
0.8600,17.2500,2.9786
0.8600,5.3292,3.0000
0.8600,20.1708,3.0000
0.8600,2.9500,3.6786
0.8600,22.5500,3.6786
0.8600,9.6519,5.1889
0.8600,12.7500,5.1786
0.8600,15.8481,5.1889
0.8600,6.5500,5.2000
0.8600,18.9500,5.2000
0.8600,3.6000,6.3500
0.8600,21.9000,6.3500
0.8600,6.5500,7.5000
0.8600,9.6519,7.5111
0.8600,12.7500,7.5214
0.8600,15.8481,7.5111
0.8600,18.9500,7.5000
0.8600,2.9500,9.0214
0.8600,22.5500,9.0214
0.8600,5.3292,9.7000
0.8600,8.2500,9.7214
0.8600,11.2346,9.7346
0.8600,14.2654,9.7346
0.8600,17.2500,9.7214
0.8600,20.1708,9.7000
0.9100,2.8741,2.8593
0.9100,6.0654,2.8346
0.9100,8.7826,2.8000
0.9100,11.4346,2.8654
0.9100,14.0654,2.8654
0.9100,16.7174,2.8000
0.9100,19.4346,2.8346
0.9100,22.6259,2.8593
0.9100,4.2917,4.4917
0.9100,21.2083,4.4917
0.9100,7.7083,4.9917
0.9100,17.7917,4.9917
0.9100,10.2000,5.1500
0.9100,12.7500,5.1500
0.9100,15.3000,5.1500
0.9100,2.7000,6.3500
0.9100,5.7214,6.3500
0.9100,19.7786,6.3500
0.9100,22.8000,6.3500
0.9100,10.2000,7.5500
0.9100,12.7500,7.5500
0.9100,15.3000,7.5500
0.9100,7.7083,7.7083
0.9100,17.7917,7.7083
0.9100,4.2917,8.2083
0.9100,21.2083,8.2083
0.9100,2.8741,9.8407
0.9100,6.0654,9.8654
0.9100,11.4346,9.8346
0.9100,14.0654,9.8346
0.9100,19.4346,9.8654
0.9100,22.6259,9.8407
0.9100,8.7826,9.9000
0.9100,16.7174,9.9000
0.9600,4.5407,2.5259
0.9600,8.8778,2.5704
0.9600,16.6222,2.5704
0.9600,20.9593,2.5259
0.9600,12.7500,2.6000
0.9600,2.4708,2.7000
0.9600,6.8000,2.7500
0.9600,18.7000,2.7500
0.9600,23.0292,2.7000
0.9600,10.8385,3.0154
0.9600,14.6615,3.0154
0.9600,5.3741,4.5407
0.9600,20.1259,4.5407
0.9600,2.5346,4.9654
0.9600,8.3174,4.9000
0.9600,17.1826,4.9000
0.9600,22.9654,4.9654
0.9600,12.7500,5.1692
0.9600,10.4708,5.3000
0.9600,15.0292,5.3000
0.9600,4.1214,6.3500
0.9600,6.7500,6.3500
0.9600,18.7500,6.3500
0.9600,21.3786,6.3500
0.9600,10.4708,7.4000
0.9600,15.0292,7.4000
0.9600,12.7500,7.5308
0.9600,2.5346,7.7346
0.9600,22.9654,7.7346
0.9600,8.3174,7.8000
0.9600,17.1826,7.8000
0.9600,5.3741,8.1593
0.9600,20.1259,8.1593
0.9600,10.8385,9.6846
0.9600,14.6615,9.6846
0.9600,6.8000,9.9500
0.9600,18.7000,9.9500
0.9600,2.4708,10.0000
0.9600,23.0292,10.0000
0.9600,4.5407,10.1741
0.9600,8.8778,10.1296
0.9600,12.7500,10.1000
0.9600,16.6222,10.1296
0.9600,20.9593,10.1741
1.0100,2.3654,2.4346
1.0100,4.4500,2.4500
1.0100,6.6000,2.3826
1.0100,10.7407,2.4259
1.0100,14.7593,2.4259
1.0100,18.9000,2.3826
1.0100,21.0500,2.4500
1.0100,23.1346,2.4346
1.0100,8.7826,2.6000
1.0100,16.7174,2.6000
1.0100,12.7500,2.7000
1.0100,2.8292,4.4000
1.0100,5.2654,4.4346
1.0100,7.5500,4.4000
1.0100,17.9500,4.4000
1.0100,20.2346,4.4346
